"","Open","High","Low","Close","Volume","Adjusted","Stock","Sector","Date"
"30901",1208.900024,1212.73999,1204.540039,1209.589966,849900,1209.589966,"GOOGL","Technology","2019-04-11"
"30911",1215.619995,1223.050049,1213.290039,1222.72998,1214900,1222.72998,"GOOGL","Technology","2019-04-12"
"30612",99.470001,99.559998,97.120003,97.93,10352500,97.405891,"WMT","Consumer","2019-03-01"
"30622",98.120003,98.589996,97.370003,97.849998,7683800,97.326317,"WMT","Consumer","2019-03-04"
"30632",98.129997,99.190002,98.089996,98.339996,6119300,97.81369,"WMT","Consumer","2019-03-05"
"30642",98.269997,99,97.860001,98.260002,4696600,97.734123,"WMT","Consumer","2019-03-06"
"30652",97.709999,98.199997,97.239998,97.449997,6016500,96.928452,"WMT","Consumer","2019-03-07"
"30662",97.550003,98.419998,97,97.589996,5659000,97.067703,"WMT","Consumer","2019-03-08"
"30672",98.040001,98.580002,97.82,98.480003,5345300,97.95295,"WMT","Consumer","2019-03-11"
"30682",98.529999,98.739998,98.050003,98.370003,5070500,97.843536,"WMT","Consumer","2019-03-12"
"30692",98.699997,99.349998,98.389999,99.029999,5482300,98.5,"WMT","Consumer","2019-03-13"
"30702",98.410004,98.43,97.589996,98.220001,4925800,98.220001,"WMT","Consumer","2019-03-14"
"30712",98.279999,98.510002,97.599998,98.419998,14600000,98.419998,"WMT","Consumer","2019-03-15"
"30722",98.300003,99.769997,98.260002,99.660004,5770100,99.660004,"WMT","Consumer","2019-03-18"
"30732",99.989998,100.489998,99.57,99.849998,5414400,99.849998,"WMT","Consumer","2019-03-19"
"30742",99.199997,99.550003,98.540001,98.639999,6323100,98.639999,"WMT","Consumer","2019-03-20"
"30752",98.25,99.129997,98.099998,99.059998,6551000,99.059998,"WMT","Consumer","2019-03-21"
"30762",98.580002,99.529999,97.940002,98.279999,6708100,98.279999,"WMT","Consumer","2019-03-22"
"30772",97.800003,98.620003,97.629997,98.169998,5407400,98.169998,"WMT","Consumer","2019-03-25"
"30782",98.360001,98.849998,98.029999,98.32,4945900,98.32,"WMT","Consumer","2019-03-26"
"30792",98.139999,98.860001,95,97.209999,8471200,97.209999,"WMT","Consumer","2019-03-27"
